subject_id,classification_id,user_name,Enter the locationID (1st row),Enter the locationID (2nd row),Enter the locationID (3rd row),Enter the locationID (4th row),Enter the locationID (5th row),Enter the locationID (6th row),Enter the verbatimDate (1st row),Enter the verbatimDate (2nd row),Enter the verbatimDate (3rd row),Enter the verbatimDate (4th row),Enter the verbatimDate (5th row),Enter the verbatimDate (6th row),Enter the verbatimLatitude and verbatimLongitude (1st row),Enter the decimalLongitude and decimalLatitude (2nd row),Enter the decimalLongitude and decimalLatitude (3rd row),Enter the decimalLongitude and decimalLatitude (4th row),Enter the decimalLongitude and decimalLatitude (5th row),Enter the decimalLongitude and decimalLatitude (6th row),Enter the verbatimDepth (1st row),Enter the verbatimDepth (2nd row),Enter the verbatimDepth (3rd row),Enter the verbatimDepth (4th row),Enter the verbatimDepth (5th row),Enter the verbatimDepth (6th row),Enter the samplingEffort (1st row),Enter the samplingEffort (2nd row),Enter the samplingEffort (3rd row),Enter the samplingEffort (4th row),Enter the samplingEffort (5th row),Enter the samplingEffort (6th row),Enter the individualCount (1st row),Enter the individualCount (2nd row),Enter the individualCount (3rd row),Enter the individualCount (4th row),Enter the individualCount (5th row),Enter the individualCount (6th row),subject_Filename,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,classification_started_at,classification_finished_at
73548659,442677622,Sara_Mulik226,289,289,289,290,290,95,5/XI 1904,5/XI 1904,5/XI 1904,5/XI 1904,5/XI 1904,27/VI 1905,58*44' N 3*21' W,58*44' N 3*21' W,58*44' N 3*21' W,58*08' N 2*24' W,58*08' N 2*24' W,49*56' N 5*00' W,95,95,95,70,75,74,20,60,100,50,90,95,1 ,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-05 13:18:35 UTC,,,05-Oct-2022 13:13:55,05-Oct-2022 13:18:35
73548659,442699923,reichelivy,289,289,289,290,290,95,5/1X 1904,5/1X 1904,5/1X 1904,5/1X 1904,5/1X 1904,27/VI 1905,58°44´ N 3°21´ W,58°44´ N 3°21´ W,58°44´ N 3°21´ W,58°08´ N 2°24´ W,58°08´ N 2°24´ W,49°56´ N 5°00´ W,95,95,95,70,75,74,20,60,100,50,90,25,1 individu,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-05 14:45:29 UTC,,,05-Oct-2022 14:34:36,05-Oct-2022 14:45:26
73548659,442722009,lgodbout23,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI 1905,58°44'N|3°21'W,58°44'N|3°21'W,58°44'N|3°21'W,58°08'N|2°24'W,58°08'N|2°24'W,49°56'N|5°00'W,95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-05 16:24:06 UTC,,,05-Oct-2022 14:58:58,05-Oct-2022 16:24:06
73548659,442974576,Heavyn,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI 1905,58°44'N|3°21'W,58°44'N|3°21'W,58°44'N|3°21'W,58°08'N|2°24'W,58°08'N|2°24'W,49°56'N|5°00'W,95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-06 19:09:47 UTC,,,06-Oct-2022 19:02:24,06-Oct-2022 19:09:46
73548659,436967981,cpavloud,289,289,289,290,290,95,5/ΙΧ 1904,5/ΙΧ 1904,5/ΙΧ 1904,5/ΙΧ 1904,5/ΙΧ 1904,27/VI 1905,58°44´N|3°21´W,58°44´N|3°21´W,58°44´N|3°21´W,58°08´N|2°24´W,58°08´N|2°24´W,49°56´N|5°00´W,95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.255,2022-09-06 18:18:38 UTC,,,06-Sep-2022 18:16:44,06-Sep-2022 18:18:37
73548659,443584428,not-logged-in-9e232498a015f2a6431a,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI 1905,"58°44' N
3°21' W","58°44' N
3°21' W","58°44' N
3°21' W","58°08' N
3°24' W","58°08' N
3°24' W","49°56' N
5°00' W",95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-10 15:44:50 UTC,,,10-Oct-2022 15:40:17,10-Oct-2022 15:44:49
73548659,444869418,not-logged-in-9e411b598a33d43a12e2,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI 1905,58 44' N I 3 21' W,58 44' N I 3 21' N,58 44' N I 3 21' W,58 08' N I 2 24' W,58 08' N I 2 24' W,49 56' N I 5 00' W,95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-17 03:52:03 UTC,,,16-Oct-2022 21:23:13,17-Oct-2022 03:52:15
73548659,442086830,not-logged-in-d6269f04155018b273aa,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI,58*44'N 3*21'W,58*44'N 3*21'W,58*44'N 3*21'W,58*08' N 2*24' W,58*08' N 2*24' W,49*56' N 5*00' W,95,95,95,70,75,"74
",20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-01 21:09:09 UTC,,,26-Sep-2022 17:17:13,01-Oct-2022 21:09:08
73548660,442088829,Sara_Mulik226,200,98,62,63,96,248,16/IX 1906,6/VIII 1908,22/II 1909,22/II 1909,23/VI 1910,29/XI 1910,51*35'N 2*23'E,58*48'N 3*28'W,35*45'N 5*59'W,35*50'N 6*03'W,35*48'N 5*58'W,49*52'N 2*20'W,33,90,58,490,185,>100,60,150,25,600,65,65,3,5,2,2,2,11,lepadogaster 5.jpg,20922,Lepadogaster,141.268,2022-10-01 21:27:07 UTC,,,01-Oct-2022 21:20:31,01-Oct-2022 21:27:07
73548660,443918213,Heavyn,200,98,62,63,96,248,16/IX 1906,6/VIII 1908,22/II 1909,22/II 1909,23/VI 1910,29/IX 1910,51°35' N|2°23' E,58°48' N|3°28' E,35°45' N|5°59' E,35°50' N|6°03' E,35°48' N|5°58' E,49°52' N|2°20' E,33,90,58,490,185,>100,60,150,25,600,65,65,3,5,2,2,2,11,lepadogaster 5.jpg,20922,Lepadogaster,141.268,2022-10-11 22:08:43 UTC,,,06-Oct-2022 19:09:50,11-Oct-2022 22:08:42
